"order_id","customer_id","pizza_id","exclusions","extras","order_time"
"1","101","1","","","2020-01-01T18:05:02Z"
"2","101","1","","","2020-01-01T19:00:52Z"
"3","102","1","","","2020-01-02T23:51:23Z"
"3","102","2","","null","2020-01-02T23:51:23Z"
"4","103","1","4","","2020-01-04T13:23:46Z"
"4","103","1","4","","2020-01-04T13:23:46Z"
"4","103","2","4","","2020-01-04T13:23:46Z"
"5","104","1","null","1","2020-01-08T21:00:29Z"
"6","101","2","null","null","2020-01-08T21:03:13Z"
"7","105","2","null","1","2020-01-08T21:20:29Z"
"8","102","1","null","null","2020-01-09T23:54:33Z"
"9","103","1","4","1, 5","2020-01-10T11:22:59Z"
"10","104","1","null","null","2020-01-11T18:34:49Z"
"10","104","1","2, 6","1, 4","2020-01-11T18:34:49Z"
